Cars Names,HorsePower_clean,TopSpeed_clean,Accel_clean,Cluster
AD Wagon,105.0,165.0,12.3,1
Patrol Super Safari Y61,280.0,190.0,8.2,0
Pathfinder Rock Creek Edition,284.0,195.0,7.2,0
Terrano II,125.0,160.0,12.9,1
Murano CrossCabriolet,260.0,195.0,7.6,0
X-Trail Tekna,204.0,190.0,8.0,0
GT-R LM NISMO,500.0,320.0,3.0,2
Skyline 400R,400.0,250.0,4.5,0
Infiniti G37*,328.0,250.0,5.5,0
Patrol Black Edition,400.0,200.0,6.5,0
Ariya Empower+,389.0,200.0,5.1,0
Datsun 510 (Classic),96.0,175.0,10.2,1
200SX,200.0,240.0,7.2,0
300ZX,300.0,250.0,5.9,0
R390 GT1 Road Car,550.0,354.0,3.3,2
Figaro,76.0,170.0,12.8,1
Hardbody Truck,134.0,160.0,10.6,1
Atlas,130.0,130.0,18.0,1
Clipper,48.0,110.0,18.5,1
NV200,131.0,140.0,14.0,1
Violet,85.0,155.0,13.8,1
Bluebird Z,140.0,190.0,11.0,1
Stanza Wagon,138.0,160.0,12.0,1
180SX,205.0,240.0,6.8,0
Sunny California,110.0,170.0,11.0,1
Patrol Warrior,428.0,205.0,6.3,0
Pathfinder Armada Platinum,400.0,190.0,6.8,0
Rogue Sport SL,141.0,190.0,9.0,1
X-Trail Platinum Edition,204.0,190.0,8.0,0
Qashqai e-Power,187.0,200.0,7.5,0
GT-R Egoist,565.0,315.0,2.8,2
Infiniti M45*,325.0,250.0,5.8,0
Skyline 50th Anniversary,400.0,250.0,4.5,0
Ariya Dual Motor AWD,389.0,200.0,5.1,0
Patrol Legend Edition,428.0,205.0,6.3,0
Datsun 240Z (Classic),151.0,210.0,8.0,0
100NX,110.0,185.0,9.6,1
Cedric Special Edition,250.0,225.0,8.5,0
300ZX Turbo,300.0,250.0,5.9,0
Silvia S15 Spec-R,250.0,240.0,5.6,0
NV400,135.0,150.0,15.0,1
Titan Warrior,400.0,180.0,7.0,0
Caravan Coach,127.0,140.0,14.0,1
Serena e-Power,134.0,160.0,12.0,1
Elgrand,280.0,200.0,8.5,0
Datsun 510,96.0,175.0,10.2,1
Prairie,120.0,175.0,11.0,1
Pulsar GTI-R,230.0,225.0,6.0,0
Almera Tino,114.0,180.0,12.5,1
Lucino,115.0,185.0,10.5,1
Rasheen,105.0,165.0,13.0,1
Mistral,125.0,160.0,12.5,1
Patrol Y60,155.0,160.0,12.0,1
X-Trail GT,280.0,215.0,6.4,0
Terrano Regulus,170.0,175.0,10.0,1
President,280.0,210.0,7.5,0
Cima,270.0,210.0,8.0,0
Leopard J. Ferie,255.0,215.0,6.5,0
Gloria Gran Turismo,255.0,220.0,6.5,0
Infiniti Q45*,340.0,240.0,6.2,0
Datsun 240Z,151.0,210.0,8.0,0
280ZX,145.0,205.0,9.5,1
Silvia S13,175.0,215.0,6.8,0
200SX,200.0,225.0,7.0,0
NX Coupe,140.0,200.0,9.0,1
NV2500,261.0,160.0,10.0,1
NV3500,375.0,170.0,9.0,0
NT400 Cabstar,150.0,140.0,15.0,1
Panamera,330.0,270.0,5.6,0
Panamera 4,330.0,270.0,5.4,0
Panamera 4S,440.0,289.0,4.4,2
Panamera Turbo S,620.0,315.0,3.1,2
Panamera GTS,473.0,300.0,3.9,2
Panamera Platinum Edition,330.0,270.0,5.4,0
Panamera E-Hybrid,455.0,280.0,4.4,2
Panamera 4 E-Hybrid Sport Turismo,455.0,280.0,4.4,2
Panamera Turbo S E-Hybrid,690.0,315.0,3.2,2
Panamera 4 Executive,330.0,270.0,5.6,0
Cayenne,335.0,245.0,5.9,0
Cayenne Coupe,335.0,245.0,6.0,0
Cayenne S,434.0,265.0,5.0,2
Cayenne Turbo,541.0,286.0,4.0,2
Cayenne GTS,453.0,270.0,4.5,2
Cayenne Turbo S E-Hybrid,670.0,295.0,3.6,2
Macan,261.0,232.0,6.2,0
Macan S,375.0,259.0,4.8,0
Macan GTS,434.0,272.0,4.5,2
Macan T,261.0,232.0,6.2,0
911 Carrera,379.0,293.0,4.2,2
911 Carrera S,443.0,308.0,3.5,2
911 Carrera 4,379.0,293.0,4.2,2
911 Carrera 4S,443.0,306.0,3.4,2
911 Targa 4,379.0,289.0,4.4,2
911 Turbo,572.0,320.0,2.7,2
911 Turbo S,640.0,330.0,2.6,2
911 GT3,502.0,318.0,3.4,2
911 GT3 RS,518.0,296.0,3.2,2
911 Dakar,473.0,240.0,3.4,2
Taycan,402.0,230.0,5.4,0
Taycan 4S,522.0,250.0,4.0,2
Taycan Turbo,670.0,260.0,3.2,2
Taycan Turbo S,750.0,260.0,2.8,2
Taycan GTS,590.0,250.0,3.5,2
Taycan Cross Turismo,469.0,220.0,4.8,0
Taycan Sport Turismo,509.0,240.0,4.1,2
718 Cayman,300.0,275.0,4.9,0
718 Cayman S,350.0,285.0,4.4,2
718 Cayman GT4,414.0,302.0,4.2,2
718 Cayman GT4 RS,493.0,315.0,3.2,2
718 Boxster,300.0,275.0,4.9,0
718 Boxster T,300.0,275.0,4.7,0
718 Boxster GTS,394.0,293.0,4.3,2
718 Spyder,414.0,301.0,4.1,2
Panamera Base,325.0,265.0,5.6,0
Panamera 4 E-Hybrid,462.0,280.0,4.4,2
Panamera 4 Sport Turismo,325.0,265.0,5.5,0
Panamera Turbo S E-Hybrid Sport Turismo,690.0,315.0,3.2,2
Panamera 4S E-Hybrid Executive,560.0,295.0,3.7,2
