myear,fuel,transmission,km,body,Color,Engine Type,No of Cylinder,Length,Width,Height,Seats,Gear Box,Drive Type,Steering Type,owner_type,state,City,listed_price
2012,cng,manual,120000.0,hatchback,silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,thane,255000.0
2011,cng,manual,89558.0,hatchback,silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,delhi,new delhi,155128.0
2019,cng,manual,28000.0,minivans,silver,in-line engine,4.0,3675.0,1475.0,1825.0,5.0,5 speed,rwd,manual,first,maharashtra,thane,475000.0
2016,cng,manual,42000.0,hatchback,grey,k10b engine,3.0,3600.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,465000.0
2011,cng,manual,90000.0,hatchback,red,in line engine,3.0,3495.0,1475.0,1460.0,5.0,5 speed,2wd,power,third,maharashtra,aurangabad,110000.0
2018,cng,manual,53959.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,439276.0
2014,cng,manual,51413.0,hatchback,glistening grey,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,pune,319430.0
2014,cng,manual,42813.0,hatchback,bakers chocolate,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,350000.0
2021,cng,manual,32554.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,delhi,new delhi,530000.0
2012,cng,manual,117468.0,hatchback,silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,fourth,haryana,gurgaon,150000.0
2019,cng,manual,70000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,gujarat,ahmedabad,500000.0
2016,cng,manual,94694.0,hatchback,grey,k10b engine,3.0,3600.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,436111.0
2018,cng,manual,30272.0,hatchback,grey,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,510448.0
