symbol,date,open,high,low,close,network,close_next,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_mean_60,roll_std_60,ret_1,ret_7
BTCUSDT,2025-03-11,78595.86,83617.4,76606.0,82932.99,Bitcoin,83680.12,78595.86,80734.37,86222.45,89931.89,87281.98,88680.4,85117.90285714285,4543.7760608645885,91249.06133333333,5990.319343610503,95845.5835,6750.879941537014,0.055182677560879245,-0.04982689439446708
BTCUSDT,2025-03-12,82932.99,84539.85,80607.65,83680.12,Bitcoin,81115.78,82932.99,78595.86,80734.37,86801.75,90606.01,84250.09,84128.48999999999,3850.7735211550334,90790.70466666667,6026.967719865685,95663.58566666667,6929.851938448236,0.009008839546240877,-0.07643963132246967
BTCUSDT,2025-03-13,83680.12,84336.33,79939.9,81115.78,Bitcoin,83983.2,83680.12,82932.99,78595.86,86222.45,89931.89,84708.58,82869.04571428572,2979.4941094572273,90301.95733333332,6200.5803285777665,95439.76433333334,7178.982761769076,-0.030644554525017353,-0.09803096543395229
BTCUSDT,2025-03-14,81115.78,85309.71,80818.84,83983.2,Bitcoin,84338.44,81115.78,83680.12,82932.99,80734.37,86801.75,84349.94,82466.39571428571,2513.45043402296,89839.06433333334,6134.110884153343,95263.88266666667,7329.196329782314,0.03534971863674374,-0.03247111953388038
BTCUSDT,2025-03-15,83983.19,84676.28,83618.0,84338.44,Bitcoin,82574.53,83983.2,81115.78,83680.12,78595.86,86222.45,86064.53,82197.25142857143,2113.217688362747,89430.07433333334,6075.985720812381,95060.17566666666,7461.202891088981,0.004229893597767154,-0.021850573719489508
BTCUSDT,2025-03-16,84338.44,85117.04,81981.12,82574.53,Bitcoin,84010.03,84338.44,83983.2,81115.78,82932.99,80734.37,94270.0,82460.13142857143,2012.9874058247985,88932.54266666668,6003.020445511397,94761.462,7597.365799106962,-0.020914662400679962,0.022792770910332383
BTCUSDT,2025-03-17,82574.52,84756.83,82456.0,84010.03,Bitcoin,82715.03,82574.53,84338.44,83983.2,83680.12,78595.86,86220.61,83233.58428571429,1125.0701036337175,88480.555,5838.4986532816165,94495.17416666666,7690.52621315527,0.017384295133135996,0.06888619833156606
BTCUSDT,2025-03-18,84010.02,84021.74,81134.66,82715.03,Bitcoin,86845.94,84010.03,82574.53,84338.44,81115.78,82932.99,87281.98,83202.44714285714,1137.7207770738898,88033.78533333332,5745.9872491413635,94139.13333333333,7733.761248284277,-0.015414826063030795,-0.0026281459284177577
BTCUSDT,2025-03-19,82715.03,87000.0,82547.16,86845.94,Bitcoin,84223.39,82715.03,84010.03,82574.53,83983.2,83680.12,90606.01,83654.70714285715,1797.2917815384717,87735.98333333334,5559.152963540759,93843.96183333333,7667.120990673913,0.04994146771149088,0.03783240272599997
BTCUSDT,2025-03-20,86845.93,87453.67,83655.23,84223.39,Bitcoin,84088.79,86845.94,82715.03,84010.03,84338.44,81115.78,89931.89,84098.65142857144,1407.0767535010248,87354.37166666666,5385.851588342918,93558.8255,7701.983978918931,-0.030197727147636355,0.038310794767676626
BTCUSDT,2025-03-21,84223.38,84850.33,83175.25,84088.79,Bitcoin,83840.59,84223.39,86845.94,82715.03,82574.53,83983.2,86801.75,84113.73571428572,1406.1985046656605,86935.85233333333,5120.3438874112335,93255.97183333333,7711.295496189204,-0.0015981308755205204,0.0012572752645767515
BTCUSDT,2025-03-22,84088.79,84539.17,83625.1,83840.59,Bitcoin,86082.5,84088.79,84223.39,86845.94,84010.03,84338.44,86222.45,84042.61428571427,1405.5292104840516,86453.70533333332,4674.468004370208,92884.25133333333,7616.488394596676,-0.0029516419489445944,-0.00590300223717688
BTCUSDT,2025-03-23,83840.59,86129.64,83809.75,86082.5,Bitcoin,87498.16,83840.59,84088.79,84223.39,82715.03,82574.53,80734.37,84543.75285714286,1420.15007141943,86117.056,4298.224833230227,92590.51533333333,7531.4091170638185,0.02674015056430301,0.042482470078848866
BTCUSDT,2025-03-24,86082.5,88765.43,85519.09,87498.16,Bitcoin,87392.87,86082.5,83840.59,84088.79,86845.94,84010.03,78595.86,85042.05714285714,1770.4269118641228,85815.29433333334,3833.048727496561,92316.979,7410.379343482686,0.01644538669299811,0.041520399409451514
BTCUSDT,2025-03-25,87498.16,88539.63,86310.0,87392.87,Bitcoin,86909.17,87498.16,86082.5,83840.59,84223.39,82715.03,82932.99,85710.31999999999,1622.328971138639,85519.79000000001,3305.661668266711,92025.68516666668,7250.335390197582,-0.0012033395902268929,0.056553688005674285
BTCUSDT,2025-03-26,87392.88,88275.0,85860.0,86909.17,Bitcoin,87232.01,87392.87,87498.16,86082.5,84088.79,86845.94,83680.12,85719.35285714285,1629.8642650088684,85364.99966666666,3116.739970700392,91728.3905,7083.667151588246,-0.005534776464029556,0.0007280708804580094
BTCUSDT,2025-03-27,86909.17,87756.39,85800.0,87232.01,Bitcoin,84424.38,86909.17,87392.87,87498.16,83840.59,84223.39,81115.78,86149.1557142857,1565.0270723934566,85316.72,3074.5445063932016,91471.92399999998,6960.135707226911,0.003714682811951864,0.03572190575563394
BTCUSDT,2025-03-28,87232.01,87515.67,83585.0,84424.38,Bitcoin,82648.54,87232.01,86909.17,87392.87,86082.5,84088.79,83983.2,86197.09714285715,1494.9645563199851,85322.52966666667,3072.6235688733414,91177.61649999999,6876.692877228292,-0.0321857767578666,0.003990900570694622
BTCUSDT,2025-03-29,84424.38,84624.73,81644.81,82648.54,Bitcoin,82389.99,84424.38,87232.01,86909.17,87498.16,83840.59,84338.44,86026.80428571429,1836.919905228425,85253.86166666666,3109.6140130879867,90866.16683333334,6831.86387882788,-0.02103468216171689,-0.014218053570472233
BTCUSDT,2025-03-30,82648.53,83534.64,81565.0,82389.99,Bitcoin,82550.01,82648.54,84424.38,87232.01,87392.87,86082.5,82574.53,85499.30285714286,2292.057309693524,85188.53,3149.5917619698653,90510.446,6705.018665059146,-0.0031283069247198814,-0.04289501350448688
BTCUSDT,2025-03-31,82390.0,83943.08,81278.52,82550.01,Bitcoin,85158.34,82389.99,82648.54,84424.38,86909.17,87498.16,84010.03,84792.42428571428,2335.462750075622,85071.37933333333,3181.0896158303694,90140.89716666665,6516.808538116585,0.0019422262340362817,-0.05655147491101542
BTCUSDT,2025-04-01,82550.0,85579.46,82432.74,85158.34,Bitcoin,82516.29,82550.01,82389.99,82648.54,87232.01,87392.87,82715.03,84473.20571428571,2056.88236839739,84767.65733333332,2665.78662495686,89853.0435,6343.957321746919,0.031596967704788925,-0.025568790680521203
BTCUSDT,2025-04-02,85158.35,88500.0,82320.0,82516.29,Bitcoin,83213.09,85158.34,82550.01,82389.99,84424.38,86909.17,86845.94,83845.65142857142,1849.4781653869206,84644.18,2681.9081950060654,89551.05416666667,6252.583697889545,-0.0310251468030025,-0.050545644377917864
BTCUSDT,2025-04-03,82516.28,83998.02,81211.24,83213.09,Bitcoin,83889.87,82516.29,85158.34,82550.01,82648.54,87232.01,84223.39,83271.52,1091.538532773153,84508.55033333333,2646.5623961222072,89309.59583333334,6212.139699230709,0.008444393222235336,-0.04607161981020502
BTCUSDT,2025-04-04,83213.09,84720.0,81659.0,83889.87,Bitcoin,83537.99,83213.09,82516.29,85158.34,82389.99,84424.38,84088.79,83195.16142857143,1013.3438322419667,84284.679,2384.032245876914,89018.95166666668,6046.01079716977,0.00813309540602325,-0.006331228017309787
BTCUSDT,2025-04-05,83889.87,84266.0,82379.95,83537.99,Bitcoin,78430.0,83889.87,83213.09,82516.29,82550.01,82648.54,83840.59,83322.22571428571,988.8472622489004,84071.54899999998,2134.5152337421737,88781.866,5975.810357466915,-0.004194546969735313,0.010761835599273795
BTCUSDT,2025-04-06,83537.99,83817.63,77153.83,78430.0,Bitcoin,79163.24,83537.99,83889.87,83213.09,85158.34,82389.99,86082.5,82756.51285714285,2109.1667076404674,83792.49066666666,2305.6555222124834,88478.82549999999,6032.737862192003,-0.061145713465215135,-0.048063969907023996
BTCUSDT,2025-04-07,78430.0,81243.58,74508.0,79163.24,Bitcoin,76322.42,78430.0,83537.99,83889.87,82516.29,82550.01,87498.16,82272.68857142856,2514.0230051803337,83557.18366666666,2407.098353876877,88188.97366666667,6055.907373491316,0.009348973607038236,-0.041026887822303015
BTCUSDT,2025-04-08,79163.24,80867.99,76239.9,76322.42,Bitcoin,82615.22,79163.24,78430.0,83537.99,83213.09,85158.34,87392.87,81010.41428571429,2995.753308761693,83410.11866666666,2702.197298502008,87852.56733333334,6145.972279838523,-0.03588559538492875,-0.10375871582278373
BTCUSDT,2025-04-09,76322.42,83588.0,74620.0,82615.22,Bitcoin,79607.3,76322.42,79163.24,78430.0,83889.87,82516.29,86909.17,81024.54714285715,3004.2627734579423,83544.09733333332,2550.6625633349645,87622.07533333333,6077.218256987112,0.0824502158081466,0.0011989147839779335
BTCUSDT,2025-04-10,82615.22,82753.21,78464.36,79607.3,Bitcoin,83423.84,82615.22,76322.42,79163.24,83537.99,83213.09,87232.01,80509.43428571429,2872.71792643422,83433.241,2648.53084271547,87341.15116666668,6051.146851206787,-0.036408787630172745,-0.04333200461610054
BTCUSDT,2025-04-11,79607.3,84300.0,78969.58,83423.84,Bitcoin,85276.9,79607.3,82615.22,76322.42,78430.0,83889.87,84424.38,80442.85857142857,2785.391608555051,83424.69833333332,2648.1203675058814,87107.7015,5924.153804231823,0.047942085713244875,-0.005555259532527557
